Index,Sample,SiteN,Site,Sitecode,Spp,Date,Month,Year,Collector,Element,Value
749,Sarg-18,8,Xcalak,Xc,Sflu III,03/05/2019,May,2019,NCT,Al,187.85
750,Sarg-18,8,Xcalak,Xc,Sflu III,03/05/2019,May,2019,NCT,Al,99
751,Sarg-18,8,Xcalak,Xc,Sflu III,03/05/2019,May,2019,NCT,Al,218.94
752,Sarg-02,7,Xahuayxol,Xa,Sflu III,06/04/2019,Apr,2019,NCT,Al,641.96
753,Sarg-02,7,Xahuayxol,Xa,Sflu III,06/04/2019,Apr,2019,NCT,Al,332.29
754,Sarg-02,7,Xahuayxol,Xa,Sflu III,06/04/2019,Apr,2019,NCT,Al,507.59
755,Sarg-02,7,Xahuayxol,Xa,Sflu III,06/04/2019,Apr,2019,NCT,Al,203.71
756,Sarg-02,7,Xahuayxol,Xa,Sflu III,06/04/2019,Apr,2019,NCT,Al,383.45
757,Sarg-20,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,Al,408.24
758,Sarg-20,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,Al,99
759,Sarg-20,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,Al,321.44
760,Sarg-20,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,Al,426.35
761,Sarg-20,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,Al,99
766,Sarg-22,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,Al,99
767,Sarg-22,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,Al,222.59
768,Sarg-22,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,Al,399.12
769,Sarg-22,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,Al,391.62
770,Sarg-22,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,Al,583.77
771,Sarg-23,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,Al,188.92
772,Sarg-23,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,Al,99
773,Sarg-23,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,Al,421.58
774,Sarg-23,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,Al,314.2
775,Sarg-23,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,Al,503.44
776,Sarg-24,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,Al,99
777,Sarg-24,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,Al,198.35
778,Sarg-24,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,Al,440.18
779,Sarg-24,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,Al,454.73
780,Sarg-24,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,Al,437.19
781,Sarg-25,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,Al,551.27
782,Sarg-25,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,Al,99
783,Sarg-25,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,Al,99
784,Sarg-25,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,Al,500.43
785,Sarg-25,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,Al,759.3
786,Sarg-26,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,Al,470.72
787,Sarg-26,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,Al,516.99
788,Sarg-26,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,Al,532.31
789,Sarg-26,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,Al,574.48
790,Sarg-26,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,Al,237.8
791,Sarg-26,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,Al,418.27
797,Sarg-03,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,Al,99
798,Sarg-03,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,Al,99
799,Sarg-03,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,Al,99
800,Sarg-03,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,Al,381.2
801,Sarg-03,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,Al,177.8
802,Sarg-30,7,Xahuayxol,Xa,Snat I,01/06/2019,Jun,2019,NCT,Al,553.98
803,Sarg-30,7,Xahuayxol,Xa,Snat I,01/06/2019,Jun,2019,NCT,Al,222.3
804,Sarg-30,7,Xahuayxol,Xa,Snat I,01/06/2019,Jun,2019,NCT,Al,174.67
805,Sarg-30,7,Xahuayxol,Xa,Snat I,01/06/2019,Jun,2019,NCT,Al,421.58
806,Sarg-30,7,Xahuayxol,Xa,Snat I,01/06/2019,Jun,2019,NCT,Al,193.9
807,Sarg-31,7,Xahuayxol,Xa,Snat I,01/06/2019,Jun,2019,NCT,Al,192.81
808,Sarg-31,7,Xahuayxol,Xa,Snat I,01/06/2019,Jun,2019,NCT,Al,170.23
809,Sarg-31,7,Xahuayxol,Xa,Snat I,01/06/2019,Jun,2019,NCT,Al,196.29
810,Sarg-31,7,Xahuayxol,Xa,Snat I,01/06/2019,Jun,2019,NCT,Al,99
811,Sarg-31,7,Xahuayxol,Xa,Snat I,01/06/2019,Jun,2019,NCT,Al,287.75
812,Sarg-32,7,Xahuayxol,Xa,Snat I,01/06/2019,Jun,2019,NCT,Al,767.21
813,Sarg-32,7,Xahuayxol,Xa,Snat I,01/06/2019,Jun,2019,NCT,Al,99
814,Sarg-32,7,Xahuayxol,Xa,Snat I,01/06/2019,Jun,2019,NCT,Al,99
815,Sarg-32,7,Xahuayxol,Xa,Snat I,01/06/2019,Jun,2019,NCT,Al,365.69
816,Sarg-32,7,Xahuayxol,Xa,Snat I,01/06/2019,Jun,2019,NCT,Al,342.4
817,Sarg-33,7,Xahuayxol,Xa,Sflu III,01/06/2019,Jun,2019,NCT,Al,99
818,Sarg-33,7,Xahuayxol,Xa,Sflu III,01/06/2019,Jun,2019,NCT,Al,99
819,Sarg-33,7,Xahuayxol,Xa,Sflu III,01/06/2019,Jun,2019,NCT,Al,99
820,Sarg-33,7,Xahuayxol,Xa,Sflu III,01/06/2019,Jun,2019,NCT,Al,99
821,Sarg-33,7,Xahuayxol,Xa,Sflu III,01/06/2019,Jun,2019,NCT,Al,267.85
827,Sarg-35,7,Xahuayxol,Xa,Sflu III,01/06/2019,Jun,2019,NCT,Al,99
828,Sarg-35,7,Xahuayxol,Xa,Sflu III,01/06/2019,Jun,2019,NCT,Al,99
829,Sarg-35,7,Xahuayxol,Xa,Sflu III,01/06/2019,Jun,2019,NCT,Al,99
830,Sarg-35,7,Xahuayxol,Xa,Sflu III,01/06/2019,Jun,2019,NCT,Al,463.35
831,Sarg-35,7,Xahuayxol,Xa,Sflu III,01/06/2019,Jun,2019,NCT,Al,298.14
832,Sarg-43,3,Puerto Morelos,PM,Snat I,01/10/2018,Oct,2018,MG,Al,168.49
833,Sarg-43,3,Puerto Morelos,PM,Snat I,01/10/2018,Oct,2018,MG,Al,396.77
834,Sarg-43,3,Puerto Morelos,PM,Snat I,01/10/2018,Oct,2018,MG,Al,99
835,Sarg-43,3,Puerto Morelos,PM,Snat I,01/10/2018,Oct,2018,MG,Al,99
836,Sarg-43,3,Puerto Morelos,PM,Snat I,01/10/2018,Oct,2018,MG,Al,246.56
837,Sarg-44,3,Puerto Morelos,PM,Sflu III,01/11/2018,Oct,2018,MG,Al,99
838,Sarg-44,3,Puerto Morelos,PM,Sflu III,01/11/2018,Oct,2018,MG,Al,295.62
839,Sarg-44,3,Puerto Morelos,PM,Sflu III,01/11/2018,Oct,2018,MG,Al,369.82
840,Sarg-44,3,Puerto Morelos,PM,Sflu III,01/11/2018,Oct,2018,MG,Al,225
841,Sarg-44,3,Puerto Morelos,PM,Sflu III,01/11/2018,Oct,2018,MG,Al,99
842,Sarg-45,3,Puerto Morelos,PM,Snat VIII,01/10/2018,Oct,2018,MG,Al,387.56
843,Sarg-45,3,Puerto Morelos,PM,Snat VIII,01/10/2018,Oct,2018,MG,Al,258.56
844,Sarg-45,3,Puerto Morelos,PM,Snat VIII,01/10/2018,Oct,2018,MG,Al,300.59
845,Sarg-45,3,Puerto Morelos,PM,Snat VIII,01/10/2018,Oct,2018,MG,Al,245.99
846,Sarg-45,3,Puerto Morelos,PM,Snat VIII,01/10/2018,Oct,2018,MG,Al,254.19
847,Sarg-46,3,Puerto Morelos,PM,Snat VIII,01/11/2018,Oct,2018,MG,Al,99
848,Sarg-46,3,Puerto Morelos,PM,Snat VIII,01/11/2018,Oct,2018,MG,Al,195.28
849,Sarg-46,3,Puerto Morelos,PM,Snat VIII,01/11/2018,Oct,2018,MG,Al,99
850,Sarg-46,3,Puerto Morelos,PM,Snat VIII,01/11/2018,Oct,2018,MG,Al,99
851,Sarg-46,3,Puerto Morelos,PM,Snat VIII,01/11/2018,Oct,2018,MG,Al,99
854,Sarg-47,3,Puerto Morelos,PM,Snat I,24/08/2018,Aug,2018,MG,Al,99
855,Sarg-47,3,Puerto Morelos,PM,Snat I,24/08/2018,Aug,2018,MG,Al,443.05
856,Sarg-47,3,Puerto Morelos,PM,Snat I,24/08/2018,Aug,2018,MG,Al,99
857,Sarg-47,3,Puerto Morelos,PM,Snat I,24/08/2018,Aug,2018,MG,Al,99
858,Sarg-47,3,Puerto Morelos,PM,Snat I,24/08/2018,Aug,2018,MG,Al,99
859,Sarg-48,3,Puerto Morelos,PM,Sflu III,01/10/2018,Oct,2018,MG,Al,216.83
860,Sarg-48,3,Puerto Morelos,PM,Sflu III,01/10/2018,Oct,2018,MG,Al,230.69
861,Sarg-48,3,Puerto Morelos,PM,Sflu III,01/10/2018,Oct,2018,MG,Al,99
