Element,SiteN,N,Median,min,max
U,2,2,47.125,46.29,47.96
U,3,27,20.08,13.32,46.85
U,4,4,14.905,10.59,44.55
U,5,7,25.4,20.57,33.57
U,6,1,30.04,30.04,30.04
U,7,12,24.73,13.41,40.22
U,8,6,21.745,19.97,37.7
V,1,4,2.1,2.1,2.1
V,2,2,4.42,2.1,6.74
V,3,27,2.1,2.1,5.14
V,4,4,3.83,2.1,5.54
V,5,7,5.11,3.455,6.38
V,6,1,2.1,2.1,2.1
V,7,12,2.1,2.1,12.58
V,8,6,2.1,2.1,2.1
Zn,1,4,3.5,3.5,7.73
Zn,2,2,16.365,15.32,17.41
Zn,3,27,3.5,3.5,3.5
Zn,4,4,3.5,3.5,10.51
Zn,5,7,3.5,3.5,3.5
Zn,6,1,10.01,10.01,10.01
Zn,7,12,3.5,3.5,13.73
Zn,8,6,3.5,3.5,3.5
