Element,Median,min,max
Al,205.89,99,500.43
As,79.78,23.95,172.34
Ca,70040.32,23722.58,136146.31
Cl,22350.13,746.96,53100.93
Cu,4.2,4.2,540.01
Fe,2.1,2.1,11.8
K,19666.09,1989.73,46002.07
Mg,6537.37,2061.6,13661.93
Mn,71.38,39.86,138.63
Mo,0.8,0.8,6.67
P,326.83,227.52,401.37
Pb,1.4,1.4,3.33
Rb,56.44,29.85,143.14
S,14362.66,9461.69,24772.75
Si,1766.81,446.96,2921.83
Sr,1889.63,1604.8,2564.14
Th,9.62,5.42,23.36
U,22.56,10.59,47.96
V,2.1,2.1,12.58
Zn,3.5,3.5,17.41
